"Time","Machine","User","Access","SourceAddr"
"10/24/2024 5:16:52 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/24/2024 5:04:10 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/24/2024 5:03:49 PM","EMICA","adminemica","Negotiate","192.168.113.2"
"10/24/2024 5:03:49 PM","Window Manager","DWM-2","Negotiate","-"
"10/24/2024 5:03:49 PM","Window Manager","DWM-2","Negotiate","-"
"10/24/2024 5:03:47 PM","EMICA","adminemica","NTLM","-"
"10/24/2024 4:21:37 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 3:45:14 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/24/2024 2:38:37 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 1:17:32 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"10/24/2024 12:40:36 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 10:44:34 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 9:12:34 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 7:41:34 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 5:56:33 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 5:17:31 AM","EMICA","VM4PRUEBAS$","Kerberos","-"
"10/24/2024 4:26:33 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 2:28:32 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/24/2024 12:48:32 AM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/23/2024 11:09:32 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/23/2024 9:17:31 PM","EMICA","VM4PRUEBAS$","Kerberos","-"
"10/23/2024 9:17:30 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/23/2024 9:17:29 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/23/2024 9:17:24 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/23/2024 9:17:23 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/23/2024 9:17:23 PM","NT AUTHORITY","ANONYMOUS LOGON","NTLM","-"
"10/23/2024 9:17:22 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/23/2024 9:17:21 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
"10/23/2024 9:17:21 PM","EMICA","VM4PRUEBAS$","Kerberos","::1"
"10/23/2024 9:17:20 PM","NT AUTHORITY","SYSTEM","Negotiate","-"
